"Date","Price","Open","High","Low","Vol.","Change %"
"10/17/2022","13,923.2","13,607.3","13,989.9","13,607.3","","2.32%"
"10/14/2022","13,607.3","13,889.0","14,041.9","13,599.4","","-2.03%"
"10/13/2022","13,889.0","13,546.8","13,943.0","13,278.6","","2.53%"
"10/12/2022","13,546.8","13,608.1","13,647.4","13,536.3","","-0.45%"
"10/11/2022","13,608.1","13,693.6","13,788.1","13,518.5","","-0.62%"
"10/10/2022","13,693.6","13,798.3","13,846.9","13,629.6","","-0.76%"
"10/07/2022","13,798.3","14,087.4","14,087.4","13,727.8","","-2.05%"
"10/06/2022","14,087.4","14,262.0","14,268.4","14,063.9","","-1.22%"
"10/05/2022","14,262.0","14,319.5","14,340.9","14,079.9","","-0.40%"
"10/04/2022","14,319.5","13,855.7","14,322.4","13,855.7","","3.35%"
"10/03/2022","13,855.7","13,472.2","13,920.4","13,472.2","","2.85%"
"09/30/2022","13,472.2","13,608.3","13,725.1","13,467.0","","-1.00%"
"09/29/2022","13,608.3","13,833.2","13,833.2","13,498.3","","-1.63%"
"09/28/2022","13,833.2","13,541.8","13,894.6","13,541.8","","2.15%"
"09/27/2022","13,541.8","13,580.4","13,783.8","13,467.4","","-0.28%"
"09/26/2022","13,580.4","13,797.0","13,813.5","13,529.6","","-1.57%"
"09/23/2022","13,797.0","14,116.6","14,116.6","13,640.9","","-2.26%"
"09/22/2022","14,116.6","14,236.6","14,277.2","14,107.2","","-0.84%"
"09/21/2022","14,236.6","14,474.7","14,608.0","14,236.1","","-1.64%"
"09/20/2022","14,474.7","14,674.5","14,674.5","14,384.5","","-1.36%"
"09/19/2022","14,674.5","14,573.9","14,677.5","14,430.0","","0.69%"
"09/16/2022","14,573.9","14,722.0","14,722.0","14,468.9","","-1.01%"
"09/15/2022","14,722.0","14,843.2","14,903.0","14,687.0","","-0.82%"
"09/14/2022","14,843.2","14,820.8","14,898.8","14,733.6","","0.15%"
"09/13/2022","14,820.8","15,352.2","15,352.2","14,784.3","","-3.46%"
"09/12/2022","15,352.2","15,190.8","15,397.1","15,190.8","","1.06%"
"09/09/2022","15,190.8","14,961.8","15,222.8","14,961.8","","1.53%"
"09/08/2022","14,961.8","14,844.6","14,962.0","14,726.5","","0.79%"
"09/07/2022","14,844.6","14,631.5","14,866.0","14,562.8","","1.46%"
"09/06/2022","14,631.5","14,689.5","14,748.7","14,575.7","","-0.39%"
"09/02/2022","14,689.5","14,771.9","14,981.5","14,635.0","","-0.56%"
"09/01/2022","14,771.9","14,801.2","14,801.2","14,576.6","","-0.20%"
"08/31/2022","14,801.2","14,931.4","14,988.8","14,801.2","","-0.86%"
"08/30/2022","14,929.4","15,118.9","15,142.7","14,884.0","","-1.25%"
"08/29/2022","15,118.9","15,178.2","15,229.3","15,068.0","","-0.39%"
"08/26/2022","15,178.2","15,595.2","15,628.4","15,177.2","","-2.67%"
"08/25/2022","15,595.2","15,392.1","15,597.4","15,392.1","","1.32%"
"08/24/2022","15,392.1","15,338.1","15,433.4","15,298.0","","0.35%"
"08/23/2022","15,338.1","15,341.9","15,439.9","15,322.0","","-0.02%"
"08/22/2022","15,341.9","15,588.3","15,588.3","15,316.0","","-1.58%"
"08/19/2022","15,588.3","15,763.9","15,763.9","15,555.5","","-1.11%"
"08/18/2022","15,763.9","15,734.1","15,785.7","15,691.2","","0.19%"
"08/17/2022","15,734.1","15,846.8","15,846.8","15,660.0","","-0.71%"
"08/16/2022","15,846.8","15,794.3","15,897.7","15,761.6","","0.33%"
"08/15/2022","15,794.3","15,804.4","15,805.2","15,652.2","","-0.06%"
"08/12/2022","15,804.4","15,602.9","15,805.8","15,602.9","","1.29%"
"08/11/2022","15,602.9","15,552.7","15,745.8","15,552.7","","0.32%"
"08/10/2022","15,552.7","15,264.8","15,562.2","15,264.8","","1.89%"
"08/09/2022","15,264.8","15,305.8","15,342.7","15,225.2","","-0.27%"
"08/08/2022","15,305.8","15,273.2","15,417.8","15,273.2","","0.21%"
"08/05/2022","15,273.2","15,224.2","15,274.8","15,100.6","","0.32%"
"08/04/2022","15,224.2","15,267.2","15,284.0","15,214.8","","-0.28%"
"08/03/2022","15,267.2","15,162.7","15,308.8","15,162.7","","0.69%"
"08/02/2022","15,162.7","15,286.0","15,328.3","15,152.7","","-0.81%"
"08/01/2022","15,286.0","15,327.7","15,327.7","15,192.3","","-0.27%"
"07/29/2022","15,327.7","15,198.8","15,354.7","15,187.4","","0.85%"
"07/28/2022","15,198.8","15,031.0","15,209.8","14,922.8","","1.12%"
"07/27/2022","15,031.0","14,793.5","15,076.0","14,793.5","","1.61%"
"07/26/2022","14,793.5","14,899.1","14,899.1","14,761.3","","-0.71%"
"07/25/2022","14,899.1","14,790.8","14,907.2","14,781.1","","0.73%"
"07/22/2022","14,790.8","14,871.1","14,946.3","14,708.1","","-0.54%"
"07/21/2022","14,871.1","14,778.5","14,872.3","14,649.0","","0.63%"
"07/20/2022","14,778.5","14,766.6","14,824.1","14,682.1","","0.08%"
"07/19/2022","14,766.6","14,403.2","14,778.6","14,403.2","","2.52%"
"07/18/2022","14,403.2","14,449.7","14,629.0","14,376.9","","-0.32%"
"07/15/2022","14,449.7","14,171.2","14,449.7","14,171.2","","1.97%"
"07/14/2022","14,171.2","14,340.3","14,340.3","13,988.9","","-1.18%"
"07/13/2022","14,340.3","14,395.0","14,425.2","14,194.6","","-0.38%"
"07/12/2022","14,395.0","14,502.4","14,537.1","14,343.8","","-0.74%"
"07/11/2022","14,502.4","14,642.3","14,642.3","14,478.0","","-0.96%"
"07/08/2022","14,642.3","14,676.5","14,726.6","14,567.9","","-0.23%"
"07/07/2022","14,676.5","14,465.3","14,701.3","14,465.3","","1.46%"
"07/06/2022","14,465.3","14,499.5","14,544.4","14,340.5","","-0.24%"
"07/05/2022","14,499.5","14,636.8","14,636.8","14,218.0","","-0.94%"
"07/01/2022","14,636.8","14,487.6","14,659.2","14,341.3","","1.03%"
"06/30/2022","14,487.6","14,599.6","14,599.6","14,321.2","","-0.77%"
"06/29/2022","14,599.6","14,667.3","14,701.4","14,545.0","","-0.46%"
"06/28/2022","14,667.3","14,835.3","15,028.0","14,648.3","","-1.13%"
"06/27/2022","14,835.3","14,811.5","14,913.4","14,771.9","","0.16%"
"06/24/2022","14,811.5","14,402.1","14,813.2","14,402.1","","2.84%"
"06/23/2022","14,402.1","14,352.8","14,435.1","14,226.0","","0.34%"
"06/22/2022","14,352.8","14,414.2","14,489.1","14,201.8","","-0.43%"
"06/21/2022","14,414.2","14,097.0","14,468.2","14,097.0","","2.25%"
"06/17/2022","14,097.0","14,142.2","14,261.4","13,993.2","","-0.32%"
"06/16/2022","14,142.2","14,595.2","14,595.2","14,055.3","","-3.10%"
"06/15/2022","14,595.2","14,444.6","14,746.2","14,366.4","","1.04%"
"06/14/2022","14,444.6","14,527.9","14,652.1","14,332.7","","-0.57%"
"06/13/2022","14,527.9","15,096.7","15,096.7","14,468.2","","-3.77%"
"06/10/2022","15,096.7","15,472.5","15,472.5","15,078.1","","-2.43%"
"06/09/2022","15,472.5","15,843.8","15,843.8","15,472.1","","-2.34%"
"06/08/2022","15,843.8","16,019.6","16,019.6","15,806.4","","-1.10%"
"06/07/2022","16,019.6","15,848.5","16,022.8","15,737.7","","1.08%"
"06/06/2022","15,848.5","15,797.2","15,982.3","15,797.2","","0.32%"
"06/03/2022","15,797.2","15,960.5","15,960.5","15,764.8","","-1.02%"
"06/02/2022","15,960.5","15,709.6","15,960.8","15,645.4","","1.60%"
"06/01/2022","15,709.6","15,827.0","15,922.0","15,588.8","","-0.74%"
"05/31/2022","15,827.0","15,942.6","15,949.7","15,794.2","","-0.73%"
"05/27/2022","15,942.6","15,664.0","15,942.8","15,664.0","","1.78%"
"05/26/2022","15,664.0","15,412.2","15,718.8","15,412.2","","1.63%"
"05/25/2022","15,412.2","15,290.4","15,472.3","15,246.8","","0.80%"
"05/24/2022","15,290.4","15,343.0","15,343.0","15,056.4","","-0.34%"
"05/23/2022","15,343.0","15,081.0","15,383.4","15,081.0","","1.74%"
